lon lat depth 0
-111.469 40.762 8.83 0.132
-111.868 42.1028 5.64 0.184
-114.289 37.731 5.15 0.394
-111.812 38.6235 0.6 0.256
-111.103 39.409 5.21 0.32
-111.356 38.9682 0.31 0.446
-111.356 38.9618 6.65 0.46
-111.196 39.2807 6.25 0.282
-111.204 39.2877 7.24 0.31
-111.201 39.3435 2.11 0.378
-111.223 39.4538 4.25 0.33
-111.204 39.2912 1.8 0.34
-112.165 38.3787 15.13 0.376
-111.204 39.2893 1.86 0.268
-106.599 40.0963 6.9 0.786
-111.205 39.2852 1.9 0.228
-111.212 39.4533 3.15 0.3
-111.292 44.642 7.13 0.152
-111.23 39.459 7.82 0.406
-111.21 39.291 7.19 0.318
-111.094 39.4063 5.77 0.376
-111.104 39.4195 6.14 0.398
-113.226 35.8817 1.22 0.522
-111.207 39.2823 5.51 0.338
-111.234 39.3843 5.38 0.316
-110.846 39.7875 6.66 0.438
-111.212 39.2872 5.79 0.364
-111.206 39.2975 5.77 0.332
-111.221 39.4527 5.59 0.368
-113.78 37.788 1.44 0.434
-111.226 39.4507 7.28 0.346
-110.894 44.747 6.51 0.038
-111.45 44.7902 8.61 0.144
-111.101 39.4097 6.18 0.406
-111.225 39.456 3.22 0.376
-110.34 44.62 1.07 0.326
-111.226 39.4553 7.19 0.362
-110.993 44.6838 2.18 0.14
-111.225 39.424 4.91 0.328
-110.998 44.6848 2.13 0.154
-107.613 40.0905 6.67 0.796
-111.223 39.4553 7.47 0.372
-110.997 44.6863 2.33 0.164
-111.222 39.4557 2.07 0.372
-111.222 39.4545 4.7 0.346
-111.211 39.453 0.24 0.316
-111.357 38.9657 9.71 0.368
-112.294 38.553 5.9 0.168
-111.226 39.4548 6.2 0.366
-111.222 39.4582 5.63 0.402
-110.978 44.8067 1.45 0.02
-111.224 39.4545 6.67 0.36
-110.95 43.3232 6.26 0.446
-111.356 38.9583 7.13 0.312
-112.432 41.9292 1.67 0.204
-111.588 40.619 7.19 -0.05
-110.996 44.6843 2.68 0.244
-111.644 42.7065 2.73 0.276
-111 44.8177 1.7 0.034
-110.996 44.8173 0.97 0.046
-111.227 39.4557 6.32 0.362
-111.356 38.9595 8.74 0.348
-111.218 39.2843 2.15 0.414
-111.213 39.2915 5.84 0.376
-111.209 39.2908 5.72 0.32
-111.361 38.9625 8.8 0.384
-111.206 39.2857 5.22 0.264
-111.183 39.256 6.22 0.28
-110.981 44.711 1.79 0.054
-111.353 38.9743 6.37 0.35
-111.204 39.2948 6.5 0.342
-111.213 39.2925 5.89 0.298
-111.204 39.2905 5.34 0.322
-110.849 39.762 2.49 0.384
-111.103 39.4088 5.68 0.386
-111.211 39.2977 5.95 0.314
-111.979 39.9648 4.12 0.26
-113.813 37.4292 12.96 0.39
-111.201 39.2883 1.83 0.292
-111.202 39.2978 1.89 0.4
-111.201 39.2942 1.86 0.244
-111.455 40.418 0.73 0.33
-112.712 41.8598 9.29 0.282
-111.223 39.4563 3.51 0.332
-111.194 39.301 1.87 0.352
-111.358 38.9585 6.88 0.36
-111.205 39.2953 1.88 0.31
-111.203 39.3012 1.8 0.316
-111.109 39.4152 6.12 0.438
-111.272 42.6477 1.72 0.35
-111.204 39.2897 4.93 0.352
-111.204 39.2778 5.25 0.338
-110.788 44.7413 3.32 0.02
-111.208 39.28 6.16 0.33
-111.2 39.2833 5.6 0.336
-111.216 39.4608 3.69 0.334
-110.844 39.766 0.03 0.532
-112.922 37.8468 4.17 0.28
-111.211 39.3182 8.92 0.35
-111.211 39.2932 6.03 0.346
-111.081 44.6327 7.3 0.052
-111.358 38.9647 10.14 0.356
-112.295 38.5548 5.31 0.424
-111.356 38.9577 0.86 0.358
-111.204 39.282 5.55 0.348
-110.811 44.4493 0 0.242
-111.366 40.3547 2.92 0.206
-111.329 38.2435 1.2 0.404
-112.291 37.5823 1.69 0.36
-111.354 38.955 7.76 0.304
-112.256 41.5423 9.29 0.166
-111.297 44.781 13.74 0.01
-110.432 44.6492 1.27 0.388
-110.434 44.649 4.49 0.24
-110.425 44.6475 0.46 0.124
-111.209 39.2953 6.73 0.322
-111.204 39.2977 1.84 0.396
-111.005 44.7015 5.59 0.004
-111.206 39.291 6.44 0.304
-110.756 43.2137 2.16 0.33
-111.201 39.2747 6.42 0.308
-110.94 44.79 2.46 0.332
-111.205 39.2908 5.4 0.324
-111.204 39.2922 5.53 0.398
-110.975 44.7582 6.99 0.13
-111.198 39.29 5.79 0.258
-111.202 39.293 1.85 0.342
-111.207 39.2855 2.58 0.254
-111.201 39.2958 2.07 0.314
-111.35 38.963 3.41 0.404
-111.193 39.2888 5.7 0.314
-111.346 38.9625 2.18 0.4
-111.341 38.962 1.05 0.368
