shot	time	lat	lon	depth
485	94:173:01:46:31.129	40.914345	-125.531204	7.5
486	94:173:01:46:51.355	40.914246	-125.530647	7.5
487	94:173:01:47:11.521	40.914146	-125.530075	7.5
488	94:173:01:47:31.680	40.914047	-125.52951	7.5
489	94:173:01:47:51.839	40.913956	-125.528946	7.5
490	94:173:01:48:11.996	40.913864	-125.528381	7.5
491	94:173:01:48:32.193	40.913776	-125.527817	7.5
492	94:173:01:48:52.454	40.913685	-125.52726	7.5
493	94:173:01:49:12.742	40.913593	-125.526688	7.5
494	94:173:01:49:33.077	40.913513	-125.526108	7.5
495	94:173:01:49:53.414	40.913429	-125.525536	7.5
496	94:173:01:50:13.764	40.913361	-125.524963	7.5
497	94:173:01:50:34.119	40.913273	-125.524406	7.5
498	94:173:01:50:54.455	40.913204	-125.523834	7.5
499	94:173:01:51:14.805	40.913132	-125.52327	7.5
500	94:173:01:51:35.172	40.913055	-125.522705	7.5
501	94:173:01:51:55.568	40.912964	-125.522133	7.5
502	94:173:01:52:15.990	40.912891	-125.521576	7.5
503	94:173:01:52:36.474	40.912811	-125.521019	7.5
504	94:173:01:52:57.042	40.91272	-125.520462	7.5
505	94:173:01:53:17.701	40.91264	-125.51989	7.5
506	94:173:01:53:38.417	40.912548	-125.51931	7.5
507	94:173:01:53:59.276	40.912453	-125.51873	7.5
508	94:173:01:54:20.193	40.912361	-125.518166	7.5
509	94:173:01:54:41.163	40.912266	-125.517593	7.5
510	94:173:01:55:02.177	40.912167	-125.517029	7.5
511	94:173:01:55:23.225	40.912075	-125.516479	7.5
512	94:173:01:55:44.242	40.911983	-125.515923	7.5
513	94:173:01:56:05.211	40.9119	-125.515358	7.5
514	94:173:01:56:26.187	40.911816	-125.514793	7.5
515	94:173:01:56:47.165	40.911732	-125.514221	7.5
516	94:173:01:57:08.143	40.911636	-125.513649	7.5
517	94:173:01:57:29.190	40.911556	-125.513084	7.5
518	94:173:01:57:50.309	40.91148	-125.512505	7.5
519	94:173:01:58:11.514	40.9114	-125.511932	7.5
520	94:173:01:58:32.832	40.91132	-125.511353	7.5
521	94:173:01:58:54.210	40.911236	-125.510773	7.5
522	94:173:01:59:15.629	40.911133	-125.510178	7.5
523	94:173:01:59:37.086	40.91106	-125.509567	7.5
524	94:173:01:59:58.563	40.910995	-125.508957	7.5
525	94:173:02:00:20.004	40.910957	-125.508392	7.5
526	94:173:02:00:41.458	40.910877	-125.507835	7.5
527	94:173:02:01:02.922	40.910793	-125.507271	7.5
528	94:173:02:01:24.382	40.910706	-125.506721	7.5
529	94:173:02:01:45.911	40.910641	-125.506165	7.5
530	94:173:02:02:07.508	40.910572	-125.505608	7.5
531	94:173:02:02:29.106	40.9105	-125.505051	7.5
532	94:173:02:02:50.592	40.910454	-125.504494	7.5
533	94:173:02:03:12.171	40.910397	-125.503944	7.5
534	94:173:02:03:33.879	40.910358	-125.503387	7.5
535	94:173:02:03:56.075	40.91029	-125.502831	7.5
536	94:173:02:04:18.412	40.910255	-125.502258	7.5
537	94:173:02:04:40.921	40.910187	-125.501686	7.5
538	94:173:02:05:03.527	40.910118	-125.501106	7.5
539	94:173:02:05:26.285	40.910053	-125.500526	7.5
540	94:173:02:05:49.150	40.909996	-125.499924	7.5
541	94:173:02:06:12.031	40.909939	-125.499336	7.5
542	94:173:02:06:34.888	40.909885	-125.498756	7.5
543	94:173:02:06:57.686	40.909809	-125.498177	7.5
544	94:173:02:07:20.373	40.909748	-125.49762	7.5
545	94:173:02:07:42.910	40.909676	-125.497063	7.5
546	94:173:02:08:05.286	40.909599	-125.496506	7.5
547	94:173:02:08:27.457	40.909527	-125.495956	7.5
548	94:173:02:08:49.511	40.90947	-125.495407	7.5
549	94:173:02:09:11.529	40.909401	-125.494865	7.5
550	94:173:02:09:33.466	40.909344	-125.494324	7.5
551	94:173:02:09:55.493	40.909275	-125.493782	7.5
552	94:173:02:10:17.634	40.909206	-125.493217	7.5
553	94:173:02:10:39.940	40.909142	-125.492661	7.5
554	94:173:02:11:02.429	40.909096	-125.492096	7.5
555	94:173:02:11:25.053	40.909042	-125.491531	7.5
556	94:173:02:11:47.851	40.908989	-125.490974	7.5
557	94:173:02:12:10.699	40.908939	-125.490402	7.5
558	94:173:02:12:33.545	40.908886	-125.489853	7.5
559	94:173:02:12:56.404	40.908829	-125.489304	7.5
560	94:173:02:13:19.178	40.908764	-125.488754	7.5
561	94:173:02:13:41.961	40.90871	-125.48819	7.5
562	94:173:02:14:04.730	40.908653	-125.487633	7.5
563	94:173:02:14:27.592	40.9086	-125.487076	7.5
564	94:173:02:14:50.580	40.908554	-125.486526	7.5
565	94:173:02:15:13.719	40.908516	-125.485947	7.5
566	94:173:02:15:37.123	40.908459	-125.485359	7.5
567	94:173:02:16:00.703	40.908401	-125.484756	7.5
568	94:173:02:16:24.431	40.908344	-125.484169	7.5
569	94:173:02:16:48.385	40.908279	-125.483574	7.5
570	94:173:02:17:12.403	40.908215	-125.482971	7.5
571	94:173:02:17:36.644	40.908142	-125.482368	7.5
572	94:173:02:18:00.947	40.908085	-125.481743	7.5
573	94:173:02:18:25.115	40.908009	-125.481155	7.5
574	94:173:02:18:48.811	40.907959	-125.480568	7.5
575	94:173:02:19:12.380	40.907913	-125.479988	7.5
576	94:173:02:19:35.856	40.907867	-125.479408	7.5
577	94:173:02:19:59.274	40.907822	-125.478828	7.5
578	94:173:02:20:22.631	40.907757	-125.478271	7.5
579	94:173:02:20:46.016	40.90773	-125.477699	7.5
