#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
5157378|2015-09-01T23:06:40|27.6836|86.2819|16.02|us|NEIC PDE|us|us20003fjs|mb|4.1|us|NEPAL
5157041|2015-08-30T13:17:34|27.6519|85.6673|10.0|us|NEIC PDE|us|us1000365l|mb|4.5|us|NEPAL
5156964|2015-08-28T19:21:58|25.432|89.5164|13.7|us|NEIC PDE|us|us100035vn|mb|4.2|us|INDIA-BANGLADESH BORDER REGION
5160606|2015-08-24T06:53:44|28.3466|87.2202|10.53|us|NEIC PDE|us|us20003ha9|mb|4.0|us|XIZANG
5156350|2015-08-23T09:02:05|27.8355|86.0795|10.0|us|NEIC PDE|us|us100034be|mb|5.0|us|NEPAL
5155794|2015-08-17T22:23:57|27.9066|86.1322|10.44|us|NEIC PDE|us|us1000330x|mb|4.2|us|NEPAL
5155647|2015-08-15T18:11:39|27.7023|85.9473|10.0|us|NEIC PDE|us|us100032lr|mb|4.7|us|NEPAL
5158558|2015-08-15T05:42:20|27.3759|87.8566|10.0|us|NEIC PDE|us|us100032ju|mb|4.4|us|NEPAL
5159452|2015-08-14T13:02:26|27.5691|86.086|10.0|us|NEIC PDE|us|us100036bf|mb|4.6|us|NEPAL
5155175|2015-08-11T04:57:40|27.6651|85.3301|2.64|us|NEIC PDE|us|us1000311d|mb|3.7|us|NEPAL
5155088|2015-08-09T22:30:26|28.2257|84.8043|10.0|us|NEIC PDE|us|us100030nd|mb|4.2|us|NEPAL
5158060|2015-08-05T19:15:56|30.3652|80.3368|10.0|us|NEIC PDE|us|us10002y84|mb|4.1|us|WESTERN XIZANG-INDIA BORDER REG.
5156197|2015-08-01T12:14:28|28.7475|87.6636|34.28|us|NEIC PDE|us|us10002x46|mb|4.4|us|XIZANG
5156315|2015-08-01T01:37:42|28.532|85.6808|10.0|us|NEIC PDE|us|us10002x1k|mb|4.0|us|NEPAL
5153392|2015-07-22T16:29:47|27.7012|85.2824|14.54|us|NEIC PDE|us|us20002z9c|mb|3.9|us|NEPAL
5153080|2015-07-18T23:48:08|30.4476|79.1538|10.0|us|NEIC PDE|us|us20002ygc|mb|4.4|us|WESTERN XIZANG-INDIA BORDER REG.
5150691|2015-07-10T21:13:01|27.7297|86.0836|10.0|us|NEIC PDE|us|us20002wnl|mb|4.2|us|NEPAL
5155405|2015-07-07T09:31:41|29.6068|81.733|10.0|us|NEIC PDE|us|us200030f8|mb|4.2|us|NEPAL
5150475|2015-07-06T15:29:07|27.9368|85.6886|10.0|us|NEIC PDE|us|us20002vji|mb|4.2|us|NEPAL
5150398|2015-07-03T20:04:07|27.7236|84.9064|3.36|us|NEIC PDE|us|us10002nbj|mb|4.5|us|NEPAL-INDIA BORDER REGION
5150278|2015-07-02T01:56:11|27.9835|85.5714|10.0|us|NEIC PDE|us|us10002mxq|mb|4.2|us|NEPAL
5150190|2015-06-29T21:46:23|27.4724|85.7525|10.0|us|NEIC PDE|us|us10002mfm|mb|4.3|us|NEPAL
5150188|2015-06-29T17:42:43|28.003|85.6279|10.0|us|NEIC PDE|us|us10002mfa|mb|4.0|us|NEPAL
5150148|2015-06-28T23:57:15|28.0316|86.056|10.0|us|NEIC PDE|us|us10002m90|mb|4.7|us|XIZANG
5149999|2015-06-25T15:22:19|27.8139|85.3302|10.0|us|NEIC PDE|us|us10002lnq|mb|3.7|us|NEPAL
5154180|2015-06-22T07:34:31|27.5413|85.9898|10.0|us|NEIC PDE|us|us20002w0e|mb|4.3|us|NEPAL
5153358|2015-06-21T13:41:47|27.8059|86.0295|10.0|us|NEIC PDE|us|us10002np2|mb|4.1|us|NEPAL
5149788|2015-06-20T12:23:05|28.5523|82.6319|10.0|us|NEIC PDE|us|us10002khh|mb|4.7|us|NEPAL
5149630|2015-06-17T02:15:14|28.2774|85.8766|10.0|us|NEIC PDE|us|us20002qjl|mb|4.3|us|NEPAL
5149628|2015-06-17T00:29:59|27.9426|85.4981|10.0|us|NEIC PDE|us|us20002qj4|mb|4.3|us|NEPAL
5151222|2015-06-17T00:13:20|27.7381|85.2944|5.7|us|NEIC PDE|us|us20002qj3|mb|4.0|us|NEPAL
5153031|2015-06-14T07:47:46|28.1763|85.7529|10.0|us|NEIC PDE|us|us10002lx6|mb|4.1|us|NEPAL
5149453|2015-06-13T01:18:30|27.6326|86.0709|10.0|us|NEIC PDE|us|us20002pk4|mb|4.8|us|NEPAL
5151314|2015-06-12T04:34:10|27.7705|86.0379|10.0|us|NEIC PDE|us|us10002ld5|mb|4.0|us|NEPAL
5149397|2015-06-11T19:37:06|28.115|84.6937|10.32|us|NEIC PDE|us|us20002p53|mb|4.4|us|NEPAL
5149375|2015-06-11T16:12:20|27.8321|85.5836|24.49|us|NEIC PDE|us|us20002p1y|mb|4.8|us|NEPAL
5153228|2015-06-11T04:17:46|27.8955|85.7959|10.0|us|NEIC PDE|us|us10002l5z|mb|4.2|us|NEPAL
5151495|2015-06-07T05:17:45|27.9734|85.5328|10.0|us|NEIC PDE|us|us20002qpy|mb|4.2|us|NEPAL
5151648|2015-06-03T07:52:37|28.011|86.0953|10.0|us|NEIC PDE|us|us20002pdj|mb|4.0|us|XIZANG
5148732|2015-05-30T16:28:19|27.8802|84.9263|10.0|us|NEIC PDE|us|us20002knv|mb|4.3|us|NEPAL-INDIA BORDER REGION
5148635|2015-05-29T10:00:00|27.9798|84.7819|10.0|us|NEIC PDE|us|us20002kau|mb|4.8|us|NEPAL-INDIA BORDER REGION
5151858|2015-05-28T23:35:52|28.0923|84.6435|10.0|us|NEIC PDE|us|us20002mzl|mb|4.0|us|NEPAL
5151908|2015-05-27T16:45:00|28.2528|84.9717|10.0|us|NEIC PDE|us|us20002mcv|mb|4.1|us|NEPAL
8469208|2015-05-27T07:30:58|27.4029|84.716|10.0|us|NEIC PDE|us|us10002cg5|mb|4.4|us|NEPAL-INDIA BORDER REGION
5115880|2015-05-27T07:30:41|27.3256|84.6635|10.0|us|NEIC PDE|us|us10002cpp|mb|4.0|us|NEPAL-INDIA BORDER REGION
5114907|2015-05-26T17:07:14|28.2338|85.1005|10.0|us|NEIC PDE|us|us10002c8p|mb|4.6|us|NEPAL
5115064|2015-05-26T14:15:30|27.3029|85.0688|10.0|us|NEIC PDE|us|us10002ccn|mb|3.7|us|NEPAL
5152004|2015-05-25T10:46:03|28.5718|87.2411|42.44|us|NEIC PDE|us|us10002c08|mb|4.3|us|XIZANG
5114768|2015-05-24T21:38:40|28.0271|84.6734|10.0|us|NEIC PDE|us|us10002bye|mb|4.4|us|NEPAL
5114621|2015-05-22T19:07:41|29.8042|81.6888|10.0|us|NEIC PDE|us|us10002blt|mb|4.3|us|NEPAL
5152113|2015-05-22T13:04:05|27.6635|85.6936|10.0|us|NEIC PDE|us|us20002la2|mb|4.1|us|NEPAL
5114584|2015-05-22T11:45:47|27.5438|86.0511|10.0|us|NEIC PDE|us|us10002bd0|mb|4.3|us|NEPAL
5114574|2015-05-22T10:59:33|27.9555|84.9671|10.0|us|NEIC PDE|us|us10002bcr|mb|4.7|us|NEPAL-INDIA BORDER REGION
5152166|2015-05-21T09:11:55|27.8173|85.209|10.0|us|NEIC PDE|us|us20002kyi|mb|4.0|us|NEPAL
5114355|2015-05-20T09:02:32|27.3231|85.0483|10.0|us|NEIC PDE|us|us10002ar2|mb|4.6|us|NEPAL
5114275|2015-05-19T10:59:30|27.7722|85.868|10.0|us|NEIC PDE|us|us10002ahe|mb|4.2|us|NEPAL
5114230|2015-05-18T22:49:50|27.5867|85.8925|10.0|us|NEIC PDE|us|us10002adq|mb|4.4|us|NEPAL
5152266|2015-05-18T12:42:09|27.9438|84.6997|10.0|us|NEIC PDE|us|us20002k1p|mb|4.1|us|NEPAL-INDIA BORDER REGION
5114093|2015-05-17T05:45:38|27.5777|85.8239|10.0|us|NEIC PDE|us|us100029x0|mb|4.3|us|NEPAL
5114080|2015-05-16T23:15:26|27.6804|85.9514|10.0|us|NEIC PDE|us|us100029vn|mb|4.4|us|NEPAL
5152335|2015-05-16T20:02:53|28.0094|84.6978|10.0|us|NEIC PDE|us|us10002cht|mb|4.1|us|NEPAL
5114043|2015-05-16T11:34:09|27.5603|86.0734|7.0|us|NEIC PDE|us|us100029rn|mww|5.5|us|NEPAL
5152361|2015-05-16T03:50:21|27.4751|85.1653|10.0|us|NEIC PDE|us|us100029pj|mb|4.2|us|NEPAL
5114011|2015-05-16T03:39:26|27.6386|85.713|10.0|us|NEIC PDE|us|us100029pb|mb|4.7|us|NEPAL
5152367|2015-05-16T00:46:06|28.0074|84.5187|10.0|us|NEIC PDE|us|us10002ch0|mb|4.1|us|NEPAL
5113871|2015-05-15T01:42:42|27.9719|84.7499|10.0|us|NEIC PDE|us|us1000295r|mb|4.9|us|NEPAL-INDIA BORDER REGION
5113862|2015-05-14T14:36:39|28.1148|85.3994|10.0|us|NEIC PDE|us|us1000294u|mb|3.9|us|NEPAL
5152415|2015-05-14T03:07:38|27.6713|86.1515|10.0|us|NEIC PDE|us|us100028wa|mb|4.4|us|NEPAL
5113731|2015-05-13T21:38:06|27.7199|86.0503|8.38|us|NEIC PDE|us|us100028tz|mb|5.0|us|NEPAL
5113690|2015-05-13T10:59:41|27.8014|86.038|10.0|us|NEIC PDE|us|us20002eza|mb|4.2|us|NEPAL
5152434|2015-05-13T09:52:27|27.7666|86.3084|10.0|us|NEIC PDE|us|us10002bi5|mb|4.2|us|NEPAL
5113670|2015-05-13T06:53:00|27.7201|86.1891|10.0|us|NEIC PDE|us|us20002ew5|mb|4.8|us|NEPAL
5113669|2015-05-13T06:37:30|27.7582|86.1379|10.0|us|NEIC PDE|us|us20002ew1|mb|4.5|us|NEPAL
5113668|2015-05-13T06:26:07|27.6539|86.1557|10.0|us|NEIC PDE|us|us20002evz|mb|4.7|us|NEPAL
5148838|2015-05-13T02:43:47|27.6248|86.3299|10.0|us|NEIC PDE|us|us10002bhx|mb|4.1|us|NEPAL
5113658|2015-05-13T02:23:10|27.6695|86.2315|10.0|us|NEIC PDE|us|us20002ev6|mb|4.1|us|NEPAL
5152445|2015-05-12T21:57:14|27.8032|86.0034|10.0|us|NEIC PDE|us|us10002bgv|mb|4.0|us|NEPAL
5113627|2015-05-12T21:25:11|27.783|84.6384|10.0|us|NEIC PDE|us|us20002etn|mb|5.2|us|NEPAL-INDIA BORDER REGION
5113713|2015-05-12T20:44:28|27.9152|86.2389|5.36|us|NEIC PDE|us|us20002esx|mb|4.0|us|NEPAL
5113630|2015-05-12T20:22:16|27.5858|85.1413|13.35|us|NEIC PDE|us|us20002esf|mb|4.3|us|NEPAL
5113710|2015-05-12T19:37:40|27.6868|86.1308|8.52|us|NEIC PDE|us|us20002ert|mb|4.5|us|NEPAL
5113708|2015-05-12T19:34:59|27.6432|86.1584|10.93|us|NEIC PDE|us|us20002es6|mb|4.3|us|NEPAL
5152453|2015-05-12T18:51:44|27.6456|86.294|11.23|us|NEIC PDE|us|us20002erg|mb|4.1|us|NEPAL
5152454|2015-05-12T18:49:05|27.717|86.2514|15.68|us|NEIC PDE|us|us10002bgp|mb|4.0|us|NEPAL
5113571|2015-05-12T17:28:39|27.4989|86.1266|10.0|us|NEIC PDE|us|us20002eqs|mb|4.8|us|NEPAL
5113566|2015-05-12T16:55:22|27.712|85.9418|6.54|us|NEIC PDE|us|us20002eqh|mb|4.4|us|NEPAL
5152461|2015-05-12T16:32:09|27.617|86.2307|10.0|us|NEIC PDE|us|us10002bgk|mb|4.0|us|NEPAL
5152462|2015-05-12T16:15:14|27.7411|86.2211|10.0|us|NEIC PDE|us|us10002bgj|mb|4.0|us|NEPAL
5152463|2015-05-12T15:59:46|27.6485|86.2971|10.0|us|NEIC PDE|us|us10002bgi|mb|4.4|us|NEPAL
5152465|2015-05-12T15:32:25|27.7866|86.0808|10.0|us|NEIC PDE|us|us10002bgf|mb|4.2|us|NEPAL
5113564|2015-05-12T15:28:19|27.721|86.2602|10.0|us|NEIC PDE|us|us20002epr|mb|4.4|us|NEPAL
5152467|2015-05-12T13:58:57|27.6013|86.2659|10.0|us|NEIC PDE|us|us10002bgb|mb|4.5|us|NEPAL
5152468|2015-05-12T13:47:05|27.7321|85.8975|10.0|us|NEIC PDE|us|us10002bg7|mb|4.4|us|NEPAL
5113549|2015-05-12T13:43:17|27.7461|85.9016|10.0|us|NEIC PDE|us|us20002enh|mb|4.4|us|NEPAL
5152470|2015-05-12T13:25:25|27.6516|86.1632|7.9|us|NEIC PDE|us|us10002bg6|mb|4.2|us|NEPAL
5152471|2015-05-12T13:10:40|27.8728|85.9511|10.61|us|NEIC PDE|us|us10002bg3|mb|4.1|us|NEPAL
